18:59:30,0
19:00:00,0
19:00:30,8
19:01:00,2
19:01:30,1
19:02:00,3
19:02:30,6
19:03:00,3
19:03:30,1
19:04:00,1
19:04:30,1
19:05:00,7
19:05:30,7
19:06:00,1
19:06:30,5
19:07:00,2
19:07:30,2
19:08:00,8
19:08:30,3
19:09:00,2
19:09:30,2
19:10:00,6
19:10:30,4
19:11:00,0
19:11:30,2
19:12:00,4
19:12:30,10
19:13:00,2
19:13:30,13
19:14:00,13
19:14:30,7
19:15:00,1
19:15:30,3
19:16:00,7
19:16:30,3
19:17:00,3
19:17:30,3
19:18:00,7
19:18:30,5
19:19:00,4
19:19:30,1
19:20:00,2
19:20:30,2
19:21:00,5
19:21:30,4
19:22:00,6
19:22:30,0
19:23:00,0
19:23:30,3
19:24:00,2
19:24:30,0
19:25:00,0
19:25:30,1
19:26:00,5
19:26:30,1
19:27:00,0
19:27:30,1
19:28:00,2
19:28:30,0
19:29:00,1
19:29:30,1
19:30:00,1
19:30:30,0
19:31:00,3
19:31:30,5
19:32:00,3
19:32:30,0
19:33:00,7
19:33:30,2
19:34:00,2
19:34:30,3
19:35:00,6
19:35:30,3
19:36:00,8
19:36:30,2
19:37:00,2
19:37:30,0
19:38:00,9
19:38:30,1
19:39:00,2
19:39:30,2
19:40:00,4
19:40:30,4
19:41:00,2
19:41:30,4
19:42:00,1
19:42:30,5
19:43:00,2
19:43:30,4
19:44:00,9
19:44:30,2
19:45:00,5
19:45:30,3
19:46:00,2
19:46:30,5
19:47:00,1
19:47:30,6
19:48:00,7
19:48:30,7
19:49:00,0
19:49:30,6
19:50:00,0
19:50:30,0
19:51:00,1
19:51:30,9
19:52:00,0
19:52:30,16
19:53:00,6
19:53:30,10
19:54:00,8
19:54:30,8
19:55:00,14
19:55:30,5
19:56:00,19
19:56:30,25
19:57:00,14
19:57:30,17
19:58:00,11
19:58:30,6
19:59:00,6
19:59:30,6
20:00:00,5
20:00:30,12
20:01:00,11
20:01:30,23
20:02:00,14
20:02:30,8
20:03:00,9
20:03:30,16
20:04:00,20
20:04:30,18
20:05:00,6
20:05:30,18
20:06:00,25
20:06:30,27
20:07:00,56
20:07:30,29
20:08:00,24
20:08:30,27
20:09:00,51
20:09:30,34
20:10:00,29
20:10:30,26
20:11:00,45
20:11:30,56
20:12:00,45
20:12:30,31
20:13:00,34
20:13:30,34
20:14:00,41
20:14:30,85
20:15:00,77
20:15:30,45
20:16:00,55
20:16:30,87
20:17:00,91
20:17:30,36
20:18:00,46
20:18:30,62
20:19:00,81
20:19:30,68
20:20:00,68
20:20:30,73
20:21:00,77
20:21:30,106
20:22:00,71
20:22:30,96
20:23:00,91
